,Subject,Guessed-B,Questions-B,Questions-C,Guessed-C,Questions-S,Guessed-S
44,Million_Dollar_Baby,Yes,19,19,Yes,20,Yes
45,Marc_Anthony,Yes,12,14,Yes,14,Yes
46,Taking_Woodstock,No,20,20,No,15,Yes
47,"Newton,_Massachusetts",No,20,19,Yes,16,Yes
48,Berlin,Yes,12,15,Yes,18,Yes
49,"Shelby_County,_Tennessee",No,20,20,No,17,Yes
50,The_World_Is_Not_Enough,Yes,14,14,Yes,14,Yes
51,Catholic_Church,No,20,20,No,20,No
52,Frank_Herbert,Yes,19,20,Yes,20,Yes
53,Valkyrie_(film),Yes,16,18,Yes,17,Yes
54,"Will_County,_Illinois",No,20,20,No,17,Yes
55,New_Delhi,No,20,17,Yes,15,Yes
56,Macau,Yes,14,14,Yes,14,Yes
57,The_Barbarian_Invasions,Yes,15,14,Yes,14,Yes
58,Oberlin_College,Yes,18,14,Yes,14,Yes
59,U.S._Sassuolo_Calcio,No,20,20,No,20,No
60,Entourage_(American_TV_series),Yes,12,12,Yes,12,Yes
61,Hollywood,Yes,19,16,Yes,15,Yes
62,Craig_Robinson_(actor),Yes,20,15,Yes,20,No
63,Kidult,No,20,20,Yes,20,No
64,Jack_L._Warner,Yes,14,17,Yes,14,Yes
65,David_Simon,Yes,18,16,Yes,20,No
66,Xbox_Game_Studios,Yes,15,14,Yes,15,Yes
67,Norman_Taurog,Yes,14,14,Yes,14,Yes
68,Columbia_College_(New_York),Yes,15,15,Yes,14,Yes
69,Lesley_Sharp,Yes,11,13,Yes,12,Yes
70,Roy_Orbison,Yes,13,14,Yes,14,Yes
71,Kids'_WB,Yes,18,18,Yes,20,Yes
72,Royal_Antwerp_F.C.,No,20,20,No,20,No
73,Dionne_Warwick,No,20,20,No,20,No
74,Armageddon_(1998_film),Yes,18,16,Yes,13,Yes
75,Tim_Blake_Nelson,Yes,11,12,Yes,11,Yes
76,ESPN,Yes,13,13,Yes,13,Yes
77,John_Lee_Hooker,Yes,12,15,Yes,13,Yes
78,Transylvania,Yes,15,16,Yes,17,Yes
79,The_Madness_of_King_George,Yes,16,16,Yes,16,Yes
80,Charleston_Battery,No,20,20,No,17,Yes
81,Matt_Stone,Yes,12,12,Yes,12,Yes
82,Alastair_Reynolds,Yes,15,16,Yes,14,Yes
83,FC_Sion,No,20,20,No,15,Yes
84,Allen_Covert,Yes,13,12,Yes,12,Yes
85,Rouen,No,20,19,Yes,19,Yes
86,Pier_Paolo_Pasolini,Yes,11,11,Yes,11,Yes
87,Post-punk,No,20,19,Yes,13,Yes
88,Metalcore,Yes,10,19,Yes,18,Yes
89,Anthony_Anderson,Yes,12,13,Yes,13,Yes
90,Ruth_Gordon,Yes,12,12,Yes,12,Yes
91,Mobile_Suit_Gundam_SEED,No,20,13,Yes,13,Yes
92,Kristen_Stewart,Yes,18,14,Yes,17,Yes
93,"Nashua,_New_Hampshire",No,20,12,Yes,20,Yes
94,Bea_Arthur,Yes,13,15,Yes,14,Yes
95,Bernadette_Peters,Yes,20,17,Yes,15,Yes
96,Star_Trek_(film),Yes,12,12,Yes,13,Yes
97,Ip_Man_(film),Yes,15,14,Yes,14,Yes
98,Malaysia_national_football_team,No,20,20,No,16,Yes
99,New_World_Pictures,No,20,20,Yes,20,No
100,Derbyshire,No,20,20,Yes,16,Yes
101,University_of_Detroit_Mercy,Yes,13,13,Yes,13,Yes
102,"Beverly_Hills,_90210",No,20,20,No,20,No
103,"Girton_College,_Cambridge",Yes,20,17,Yes,18,Yes
104,Sonic_X,Yes,13,14,Yes,14,Yes
105,Ronald_D._Moore,Yes,12,12,Yes,13,Yes
106,Moldova,Yes,15,15,Yes,14,Yes
107,Jean_Passanante,Yes,20,20,No,20,No
108,Edwin_B._Willis,Yes,14,16,Yes,15,Yes
109,Preity_Zinta,Yes,18,18,Yes,18,Yes
110,John_Legend,Yes,13,13,Yes,13,Yes
111,Radiohead,Yes,12,13,Yes,12,Yes
112,The_Straight_Story,Yes,14,14,Yes,15,Yes
113,Martin_Donovan,Yes,13,12,Yes,12,Yes
114,Hungarian_language,No,20,13,Yes,15,Yes
115,Albert_Wolsky,Yes,18,18,Yes,18,Yes
116,Indian_Rebellion_of_1857,Yes,19,20,No,20,No
117,Cleveland_State_University,Yes,15,15,Yes,13,Yes
118,Platoon_(film),Yes,14,14,Yes,17,Yes
119,London_School_of_Economics,Yes,17,17,Yes,14,Yes
120,ER_(TV_series),No,20,20,No,16,Yes
121,Russian_Americans,No,20,20,No,20,No
122,"Palm_Desert,_California",No,20,20,No,13,Yes
123,SpongeBob_SquarePants,Yes,17,16,Yes,14,Yes
124,North_(1994_film),Yes,13,13,Yes,14,Yes
125,Hercules_(1997_film),Yes,16,15,Yes,15,Yes
126,Joely_Richardson,Yes,10,12,Yes,12,Yes
127,Neil_Jordan,Yes,10,10,Yes,10,Yes
128,David_McCallum,Yes,14,20,No,15,Yes
129,"St._Augustine,_Florida",No,20,20,No,19,Yes
130,Kaneto_Shiozawa,Yes,11,11,Yes,11,Yes
131,The_Monkees,Yes,19,18,Yes,16,Yes
132,"Ingham_County,_Michigan",No,20,20,No,13,Yes
133,Skeleton_(sport),No,20,20,No,20,No
134,Calvin_University,No,20,20,No,20,Yes
135,Martin_Heidegger,Yes,16,16,Yes,16,Yes
136,Purple_Heart,Yes,13,15,Yes,14,Yes
137,Internal_medicine,No,20,19,Yes,18,Yes
138,David_Mansfield,Yes,13,14,Yes,13,Yes
139,Al_Roker,No,20,20,No,20,No
140,50th_Annual_Grammy_Awards,Yes,20,12,Yes,12,Yes
141,Recess:_School's_Out,No,20,20,No,20,No
142,Telecommunication,Yes,16,18,Yes,17,Yes
143,Jaws_3-D,No,20,20,No,20,No
144,Charlotte_Hornets,Yes,19,15,Yes,12,Yes
145,Dune_(1984_film),Yes,20,20,No,20,No
146,Transformers,No,20,20,No,20,No
147,Casey_Affleck,Yes,13,12,Yes,12,Yes
148,Salma_Hayek,No,20,20,Yes,14,Yes
149,Dutch_Americans,No,20,20,No,15,Yes
150,Clive_Davis,No,20,20,No,20,No
151,University_of_Paris,No,20,20,No,20,No
152,Provost_(education),No,20,20,No,20,No
153,1904_Summer_Olympics,Yes,15,12,Yes,13,Yes
154,Betty_Comden,Yes,12,12,Yes,13,Yes
155,Black_Sabbath,Yes,13,13,Yes,13,Yes
156,Sangju_Sangmu_FC,No,20,20,No,20,No
157,Mogadishu,No,20,12,Yes,13,Yes
158,"Lancaster_County,_Pennsylvania",Yes,16,20,No,17,Yes
159,Hartlepool_United_F.C.,Yes,20,20,No,14,Yes
160,Metro_Manila,No,20,20,Yes,20,No
161,Grenada,Yes,14,13,Yes,13,Yes
162,Ian_Somerhalder,No,20,18,Yes,19,Yes
163,U.C._Sampdoria,No,20,20,No,14,Yes
164,Anton_Yelchin,Yes,13,15,Yes,16,Yes
165,Ashlee_Simpson,Yes,13,13,Yes,14,Yes
166,Hawaiian_Islands,Yes,14,15,Yes,15,Yes
167,Francis_Ford_Coppola,Yes,12,12,Yes,12,Yes
168,Brian_Baumgartner,Yes,13,13,Yes,13,Yes
169,1982_Cannes_Film_Festival,Yes,20,16,Yes,17,Yes
170,The_Spiderwick_Chronicles_(film),Yes,19,16,Yes,15,Yes
171,Disney_Channel,Yes,13,13,Yes,14,Yes
172,William_Demarest,No,20,20,No,19,Yes
173,Samuel_Z._Arkoff,Yes,20,19,Yes,20,No
174,XXX_(2002_film),Yes,13,13,Yes,13,Yes
175,Blake_Lively,No,20,15,Yes,20,No
176,Ludwig_van_Beethoven,Yes,16,16,Yes,16,Yes
177,The_Lady_(2011_film),Yes,14,14,Yes,14,Yes
178,Swedish_Empire,No,20,20,No,14,Yes
179,Molly_Parker,Yes,16,13,Yes,14,Yes
180,Fernando_Trueba,Yes,16,16,Yes,16,Yes
181,West_Midlands_(county),No,20,20,No,15,Yes
182,Dianne_Wiest,Yes,10,10,Yes,14,Yes
183,Detroit,No,20,20,No,20,No
184,Ohio_University,Yes,13,13,Yes,13,Yes
185,Franz_Waxman,Yes,20,20,Yes,19,Yes
186,Utrecht_University,Yes,13,14,Yes,14,Yes
187,Ayn_Rand,Yes,19,20,Yes,20,No
188,Siobhan_Finneran,Yes,18,17,Yes,12,Yes
189,Ohio_River,Yes,11,12,Yes,12,Yes
190,Xavier_University,Yes,18,20,Yes,14,Yes
191,Anatole_Litvak,Yes,13,14,Yes,12,Yes
192,Liza_Minnelli,Yes,15,12,Yes,12,Yes
193,Toby_Keith,No,20,13,Yes,15,Yes
194,Speed_metal,Yes,9,14,Yes,14,Yes
195,"Tyler,_Texas",No,20,11,Yes,11,Yes
196,Will_Forte,No,20,12,Yes,18,Yes
197,The_Andy_Griffith_Show,Yes,19,19,Yes,20,Yes
198,The_Royal_Tenenbaums,Yes,19,19,Yes,15,Yes
199,Rush_Hour_3,Yes,16,17,Yes,17,Yes
200,Philippines_national_football_team,No,20,18,Yes,15,Yes
201,Mark_Goodson,Yes,15,15,Yes,15,Yes
202,A_Simple_Life,Yes,17,17,Yes,17,Yes
203,Droylsden_F.C.,No,20,17,Yes,20,No
204,Showtime_(film),Yes,17,17,Yes,14,Yes
205,Scarlett_(miniseries),Yes,14,14,Yes,14,Yes
206,Shriram_Lagoo,Yes,13,13,Yes,14,Yes
207,First_Indochina_War,No,20,20,No,20,Yes
208,Ukrainian_language,No,20,17,Yes,19,Yes
209,Asthma,Yes,16,17,Yes,18,Yes
210,Norfolk_Admirals_(AHL),Yes,13,13,Yes,13,Yes
211,Kenan_Thompson,No,20,20,No,20,No
212,Rutina_Wesley,Yes,16,13,Yes,14,Yes
213,Duke_Blue_Devils_men's_basketball,No,20,20,Yes,15,Yes
214,John_Paul_Jones_(musician),Yes,11,12,Yes,13,Yes
215,Gene_Callahan,No,20,20,No,20,No
216,Rochdale_A.F.C.,No,20,18,Yes,20,No
217,Chiapas,Yes,16,13,Yes,14,Yes
218,David_Niven,Yes,15,15,Yes,13,Yes
219,Frank_Vincent,Yes,16,16,Yes,16,Yes
220,Vinnie_Jones,Yes,13,12,Yes,13,Yes
221,Bernie_Mac,Yes,17,17,Yes,20,No
222,Eli_Wallach,Yes,13,14,Yes,15,Yes
223,Metallica:_Some_Kind_of_Monster,Yes,20,20,Yes,20,Yes
224,Ethiopia,Yes,13,14,Yes,14,Yes
225,New_York_City,No,20,19,Yes,13,Yes
226,Cumbria,Yes,12,13,Yes,16,Yes
227,Basil_Poledouris,Yes,16,16,Yes,16,Yes
228,Standing_in_the_Shadows_of_Motown,No,20,20,No,20,Yes
229,"Herkimer_County,_New_York",No,20,16,Yes,13,Yes
230,Code_Geass,Yes,13,13,Yes,13,Yes
231,Corsica,No,20,19,Yes,16,Yes
232,Tufts_University,Yes,14,13,Yes,13,Yes
233,Warwickshire,Yes,17,18,Yes,20,Yes
234,Josh_Schwartz,Yes,14,14,Yes,14,Yes
235,M._Emmet_Walsh,Yes,14,14,Yes,19,Yes
236,Jung_Sung-ryong,Yes,17,17,Yes,20,Yes
237,Peter_Fonda,Yes,15,15,Yes,15,Yes
238,Jerry_Belson,Yes,15,15,Yes,15,Yes
239,Christine_Lahti,Yes,20,10,Yes,11,Yes
240,Julie_Walters,Yes,13,13,Yes,11,Yes
241,Children's_music,No,20,20,No,20,No
242,Cebu,No,20,20,No,20,No
243,UEFA,No,20,20,No,20,No
244,Costume_designer,No,20,17,Yes,17,Yes
245,CBS_News,Yes,15,15,Yes,15,Yes
246,Leaving_Las_Vegas,Yes,20,20,No,20,Yes
247,"Warren_County,_New_Jersey",Yes,20,14,Yes,13,Yes
248,Bossa_nova,No,20,20,No,20,No
249,Saturn_Award_for_Best_Writing,No,20,20,No,20,No
250,Chess,Yes,17,17,Yes,17,Yes
251,"Minden,_Louisiana",No,20,20,No,18,Yes
252,Pirates_of_the_Caribbean:_At_World's_End,Yes,13,13,Yes,15,Yes
253,Thunder_Bay,No,20,11,Yes,20,No
254,Blazing_Saddles,Yes,17,17,Yes,18,Yes
255,Dilys_Award,No,20,20,No,20,No
256,"Decatur,_Alabama",No,20,20,No,16,Yes
257,Quest_for_Fire_(film),No,20,20,No,20,No
258,YTV_(TV_channel),Yes,14,14,Yes,14,Yes
259,Staffordshire,No,20,20,No,18,Yes
260,Hip_hop_soul,No,20,12,Yes,13,Yes
261,Mario_Kassar,Yes,17,17,Yes,17,Yes
262,Sissy_Spacek,Yes,13,16,Yes,13,Yes
263,Jackass_3D,No,20,20,No,16,Yes
264,Alan_Turing,Yes,17,17,Yes,20,No
265,Christchurch,No,20,20,Yes,16,Yes
266,Screen_Actors_Guild_Award_for_Outstanding_Performance_by_a_Male_Actor_in_a_Miniseries_or_Television_Movie,No,20,20,No,20,No
267,Ernest_Lehman,Yes,15,16,Yes,17,Yes
268,Illinois_Institute_of_Technology,Yes,13,13,Yes,13,Yes
269,Delroy_Lindo,Yes,15,19,Yes,20,Yes
270,Austria_national_football_team,No,20,20,No,20,Yes
271,Vin_Diesel,Yes,18,13,Yes,15,Yes
272,Santhanam_(actor),Yes,13,12,Yes,12,Yes
273,Drexel_University,No,20,20,No,17,Yes
274,From_Here_to_Eternity,Yes,14,16,Yes,16,Yes
275,Adolf_Hitler,Yes,15,15,Yes,15,Yes
276,"Hillsborough_County,_New_Hampshire",No,20,20,No,14,Yes
277,Penelope_Wilton,No,20,16,Yes,19,Yes
278,"Bronxville,_New_York",No,20,16,Yes,17,Yes
279,"Marin_County,_California",No,20,15,Yes,20,No
280,Coldplay,Yes,16,14,Yes,14,Yes
281,Arsenal_F.C.,No,20,20,No,12,Yes
282,Tooth_&_Nail_Records,No,20,20,No,20,No
283,Paul_Frees,Yes,13,13,Yes,13,Yes
284,"Wichita,_Kansas",No,20,17,Yes,16,Yes
285,Alan_Oppenheimer,Yes,15,17,Yes,15,Yes
286,SK_Slavia_Prague,No,20,20,No,13,Yes
287,Walter_Murphy,Yes,15,15,Yes,15,Yes
288,Rhythm_and_blues,No,20,20,No,10,Yes
289,The_Godfather_Part_II,Yes,14,14,Yes,13,Yes
290,Eat_Pray_Love,Yes,18,18,Yes,17,Yes
291,Matthew_McConaughey,Yes,15,15,Yes,12,Yes
292,Jane_Austen,Yes,12,12,Yes,12,Yes
293,David_Morse,Yes,15,12,Yes,15,Yes
294,Peter_Farrelly,No,20,20,No,20,No
295,Grammy_Award_for_Best_Rap_Solo_Performance,Yes,20,15,Yes,16,Yes
296,"Torrance,_California",No,20,19,Yes,20,No
297,David_Angell,No,20,20,Yes,20,No
298,Johnny_Depp,No,20,17,Yes,20,No
299,American_Psycho_(film),Yes,18,15,Yes,14,Yes
300,Evangeline_Lilly,Yes,17,13,Yes,16,Yes
301,Nordic_combined,No,20,20,No,20,No
302,Keith_Jarrett,Yes,16,16,Yes,16,Yes
303,Haiti,Yes,14,14,Yes,14,Yes
304,"Eau_Claire,_Wisconsin",No,20,11,Yes,18,Yes
305,Tomokazu_Seki,Yes,19,19,Yes,19,Yes
306,Richard_Linklater,No,20,20,No,20,No
307,Dan_Aykroyd,Yes,12,12,Yes,12,Yes
308,"Ventura,_California",No,20,15,Yes,20,No
309,Greg_Ayres,No,20,20,No,20,No
310,Academy_Award_for_Best_Visual_Effects,No,20,20,No,20,No
311,University_of_Dayton,No,20,20,No,15,Yes
312,Thrash_metal,Yes,12,16,Yes,13,Yes
313,"Kalamazoo,_Michigan",No,20,13,Yes,11,Yes
314,13th_Screen_Actors_Guild_Awards,No,20,18,Yes,12,Yes
315,Irving_Thalberg,Yes,20,18,Yes,20,Yes
316,Irish_migration_to_Great_Britain,No,20,20,No,20,No
317,Golden_Raspberry_Award_for_Worst_Original_Song,No,20,20,No,20,No
318,The_Grapes_of_Wrath_(film),Yes,15,16,Yes,16,Yes
319,Invercargill,No,20,20,No,20,Yes
320,Gregory_Peck,Yes,12,13,Yes,13,Yes
321,Dennis_Hopper,Yes,14,14,Yes,12,Yes
322,Power_Rangers,No,20,20,No,20,No
323,Tehran,Yes,14,10,Yes,13,Yes
324,Soprano,Yes,10,13,Yes,12,Yes
325,Oliver_Twist_(2005_film),Yes,12,12,Yes,12,Yes
326,Colm_Meaney,Yes,12,12,Yes,12,Yes
327,Southeast_Asia,No,20,18,Yes,18,Yes
328,Saint_Vincent_and_the_Grenadines,Yes,15,15,Yes,14,Yes
329,Jon_Stone,No,20,20,No,20,Yes
330,Yes_Man_(film),Yes,18,17,Yes,18,Yes
331,"Washtenaw_County,_Michigan",No,20,20,No,13,Yes
332,County_Dublin,No,20,20,No,20,Yes
333,Salmon_Fishing_in_the_Yemen,Yes,12,12,Yes,12,Yes
334,Daniel_Craig,Yes,14,14,Yes,14,Yes
335,"Juneau,_Alaska",Yes,18,20,No,15,Yes
336,Princeton_Theological_Seminary,Yes,20,20,No,16,Yes
337,Carl_Friedrich_Gauss,Yes,17,16,Yes,16,Yes
338,Elektra_(2005_film),Yes,14,14,Yes,12,Yes
339,Lucien_Ballard,No,20,19,Yes,20,Yes
340,Terence_Blanchard,Yes,16,16,Yes,16,Yes
341,Lower_Saxony,Yes,12,13,Yes,15,Yes
342,Michael_O'Neill_(footballer),Yes,14,14,Yes,13,Yes
343,Alan_Arkin,Yes,12,12,Yes,12,Yes
344,Dabney_Coleman,No,20,15,Yes,20,No
345,Master_of_Fine_Arts,No,20,20,No,20,No
346,Jake_Shimabukuro,Yes,12,12,Yes,12,Yes
347,Randers_FC,No,20,20,No,20,No
348,T-Pain,Yes,16,13,Yes,14,Yes
349,Barry_Corbin,Yes,14,15,Yes,14,Yes
350,American_Splendor_(film),No,20,20,No,20,No
351,Horrible_Bosses,Yes,19,19,Yes,20,Yes
352,Tori_Spelling,Yes,18,15,Yes,17,Yes
353,The_Brothers_Bloom,No,20,20,No,20,No
354,STV_(TV_channel),No,20,20,No,20,No
355,"Gaston_County,_North_Carolina",No,20,20,No,20,No
356,Neal_McDonough,Yes,13,14,Yes,14,Yes
357,Stalag_17,No,20,20,No,20,No
358,Prometheus_Award,Yes,20,17,Yes,13,Yes
359,Drew_Barrymore,Yes,19,15,Yes,15,Yes
360,The_Surreal_Life,Yes,20,20,No,20,No
361,Electorate_of_Saxony,No,20,12,Yes,14,Yes
362,Grant_Morrison,Yes,12,12,Yes,12,Yes
363,Poitou-Charentes,No,20,20,No,17,Yes
364,Marvin_Hamlisch,Yes,12,13,Yes,12,Yes
365,John_Turturro,Yes,11,11,Yes,11,Yes
366,The_Untouchables_(film),Yes,20,19,Yes,13,Yes
367,Lincoln_(film),Yes,16,18,Yes,17,Yes
368,Baroque_music,No,20,20,No,20,Yes
369,Portland_metropolitan_area,No,20,20,No,20,No
370,Macclesfield,No,20,20,No,20,No
371,Peter_David,Yes,16,17,Yes,17,Yes
372,Chelsea_F.C.,No,20,20,No,20,Yes
373,Kirsten_Dunst,Yes,12,16,Yes,13,Yes
374,Valencia,No,20,20,No,14,Yes
375,Milan_Conservatory,Yes,19,17,Yes,15,Yes
376,An_Early_Frost,No,20,20,No,20,No
377,"Clallam_County,_Washington",No,20,13,Yes,13,Yes
378,Mandarin_Chinese,Yes,15,17,Yes,14,Yes
379,Swimming_Upstream,Yes,15,15,Yes,15,Yes
380,MTV2,No,20,20,No,20,No
381,CSI:_Crime_Scene_Investigation,No,20,20,No,20,No
382,David_Wain,Yes,11,11,Yes,11,Yes
383,Imperial_Records,Yes,20,14,Yes,12,Yes
384,Lois_Smith,No,20,15,Yes,20,No
385,Terminator_3:_Rise_of_the_Machines,Yes,14,14,Yes,13,Yes
386,Modern_Family,Yes,13,13,Yes,13,Yes
387,Andrew_Lincoln,Yes,10,10,Yes,12,Yes
388,J._T._Walsh,No,20,20,Yes,20,Yes
389,Primary_Colors_(film),Yes,15,17,Yes,16,Yes
390,Babyface_(musician),Yes,18,19,Yes,19,Yes
391,Wayne_State_University,Yes,13,12,Yes,13,Yes
392,Thomas_Haden_Church,Yes,14,13,Yes,14,Yes
393,"Broward_County,_Florida",Yes,17,20,No,13,Yes
394,Sucrose,No,20,20,No,20,No
395,University_of_the_Pacific_(United_States),No,20,20,No,16,Yes
396,Billy_Crudup,Yes,13,11,Yes,12,Yes
397,Constantine_(film),Yes,15,15,Yes,17,Yes
398,Brisbane_Roar_FC,No,20,20,No,20,No
399,Bluegrass_music,No,20,20,No,20,No
400,Eriq_La_Salle,Yes,14,13,Yes,14,Yes
401,Oaxaca,Yes,11,13,Yes,13,Yes
402,The_Black_Eyed_Peas,Yes,19,16,Yes,20,No
403,Will_Patton,No,20,20,No,19,Yes
404,The_Wicker_Man_(2006_film),Yes,18,18,Yes,15,Yes
405,Cuba_Gooding_Jr.,Yes,12,12,Yes,12,Yes
406,TV_Tokyo,No,20,14,Yes,19,Yes
407,David_Healy_(footballer),Yes,12,12,Yes,12,Yes
408,Frank_Skinner_(composer),No,20,20,No,20,No
409,2004_NCAA_Division_I_Men's_Basketball_Tournament,No,20,20,Yes,20,No
410,Noah_Wyle,Yes,11,14,Yes,13,Yes
411,Japan,Yes,14,14,Yes,14,Yes
412,Arthur_Laurents,Yes,13,13,Yes,13,Yes
413,104th_United_States_Congress,No,20,16,Yes,18,Yes
414,"Muskegon,_Michigan",No,20,20,No,18,Yes
415,Bridget_Fonda,Yes,19,14,Yes,19,Yes
416,Maximilian_Schell,Yes,12,12,Yes,13,Yes
417,Primetime_Emmy_Award_for_Outstanding_Writing_for_a_Variety_Series,No,20,20,No,20,No
418,"Vallejo,_California",No,20,16,Yes,16,Yes
419,Dr._No_(film),Yes,12,12,Yes,12,Yes
420,F.C._Copenhagen,No,20,20,No,20,No
421,Ben_10_(2005_TV_series),Yes,11,11,Yes,12,Yes
422,Bruce_Beresford,Yes,12,12,Yes,12,Yes
423,Olivia_Williams,Yes,14,14,Yes,14,Yes
424,Malcolm_David_Kelley,Yes,15,15,Yes,16,Yes
425,Crossover_thrash,No,20,14,Yes,13,Yes
426,The_Lives_of_a_Bengal_Lancer_(film),No,20,20,No,20,No
427,Satellite_Award_for_Best_Cinematography,No,20,20,No,20,No
428,David_Spade,No,20,20,No,20,No
429,Kaohsiung,No,20,20,No,17,Yes
430,Grammy_Award_for_Best_Solo_Rock_Vocal_Performance,Yes,20,13,Yes,13,Yes
431,Emma_Stone,Yes,17,14,Yes,13,Yes
432,Jim_Broadbent,Yes,13,13,Yes,13,Yes
433,The_Mission_(1986_film),Yes,13,13,Yes,13,Yes
434,Harry_Gregson-Williams,No,20,19,Yes,14,Yes
435,Dynamo_Dresden,No,20,20,No,20,No
436,Chris_Rock,Yes,14,14,Yes,14,Yes
437,Amjad_Khan_(actor),Yes,11,11,Yes,12,Yes
438,Burnaby,No,20,12,Yes,20,No
439,Annie_Lennox,Yes,15,15,Yes,15,Yes
440,Minsk,No,20,16,Yes,15,Yes
441,MTV_Movie_Award_for_Best_Villain,No,20,20,No,20,No
442,Antarctica,Yes,20,17,Yes,13,Yes
443,The_Kids_Are_All_Right_(film),No,20,20,No,20,No
444,Malcolm_Arnold,No,20,20,No,19,Yes
445,Tennessee,No,20,16,Yes,15,Yes
446,Dnipro,Yes,12,17,Yes,15,Yes
447,Bath_Iron_Works,Yes,13,13,Yes,13,Yes
448,Chevrolet,No,20,20,No,20,No
449,William_Wyler,Yes,14,14,Yes,14,Yes
450,Westminster_School,Yes,14,15,Yes,15,Yes
451,Dredd,Yes,13,13,Yes,13,Yes
452,Anna_Faris,Yes,16,13,Yes,14,Yes
453,Elizabeth_Banks,Yes,17,16,Yes,15,Yes
454,The_Pink_Panther_(2006_film),No,20,20,No,20,No
455,Seton_Hall_University,Yes,20,18,Yes,13,Yes
456,David_Greenwalt,Yes,13,12,Yes,13,Yes
457,Jay_Leno,Yes,14,15,Yes,14,Yes
458,Larry_David,Yes,14,19,Yes,14,Yes
459,"Yakima_County,_Washington",No,20,16,Yes,12,Yes
460,Pierre_Boulez,Yes,13,13,Yes,13,Yes
461,VVV-Venlo,No,20,20,No,14,Yes
462,Kazakhstan_national_football_team,No,20,20,No,20,Yes
463,Jeremy_Piven,Yes,18,13,Yes,20,Yes
464,Z_(1969_film),Yes,15,15,Yes,14,Yes
465,Jess_Harnell,No,20,20,No,20,No
466,Vincente_Minnelli,No,20,20,No,20,No
467,Falkland_Islands,No,20,20,No,20,No
468,Ravi_Shankar,Yes,13,13,Yes,13,Yes
469,The_Santa_Clause_3:_The_Escape_Clause,Yes,20,20,Yes,15,Yes
470,Kate_Hudson,Yes,18,15,Yes,20,No
471,"Ann_Arbor,_Michigan",Yes,16,9,Yes,12,Yes
472,Aladdin_(1992_Disney_film),Yes,20,20,Yes,16,Yes
473,Ghost_Rider:_Spirit_of_Vengeance,Yes,14,14,Yes,15,Yes
474,James_Franco,Yes,13,12,Yes,13,Yes
475,Mel_Brooks,Yes,11,11,Yes,11,Yes
476,The_Dark_Knight_(film),Yes,16,16,Yes,17,Yes
477,Monica_Rial,Yes,14,14,Yes,14,Yes
478,Sporting_CP,Yes,15,20,No,20,No
479,Madagascar,Yes,15,15,Yes,14,Yes
480,Georgia_national_football_team,Yes,20,20,No,20,Yes
481,The_Walking_Dead_(TV_series),No,20,20,No,20,No
482,Happy_Days,No,20,20,No,19,Yes
483,Crewe_Alexandra_F.C.,No,20,20,No,14,Yes
